contract,tenure_band,internetservice,paymentmethod,customers,churned_customers,avg_monthly_charges,revenue_at_risk,churn_rate
Month-to-month,0-6 Months,DSL,Bank transfer (automatic),42,18,48.83571428571428,816.0,0.42857142857142855
Month-to-month,0-6 Months,DSL,Credit card (automatic),52,21,49.70769230769231,1006.15,0.40384615384615385
Month-to-month,0-6 Months,DSL,Electronic check,209,119,45.63133971291867,5213.1,0.569377990430622
Month-to-month,0-6 Months,DSL,Mailed check,192,87,45.97057291666667,3964.4,0.453125
Month-to-month,0-6 Months,Fiber optic,Bank transfer (automatic),41,38,81.58536585365853,3098.65,0.926829268292683
Month-to-month,0-6 Months,Fiber optic,Credit card (automatic),42,29,80.81071428571428,2399.3,0.6904761904761905
Month-to-month,0-6 Months,Fiber optic,Electronic check,440,332,80.7990909090909,26920.8,0.7545454545454545
Month-to-month,0-6 Months,Fiber optic,Mailed check,96,60,79.35572916666666,4731.4,0.625
Month-to-month,0-6 Months,No,Bank transfer (automatic),27,7,20.24259259259259,146.75,0.25925925925925924
Month-to-month,0-6 Months,No,Credit card (automatic),25,3,20.11,60.55,0.12
Month-to-month,0-6 Months,No,Electronic check,31,9,20.048387096774192,179.35,0.2903225806451613
Month-to-month,0-6 Months,No,Mailed check,216,57,20.25740740740741,1144.85,0.2638888888888889
Month-to-month,13-24 Months,DSL,Bank transfer (automatic),39,7,54.70384615384615,382.45,0.1794871794871795
Month-to-month,13-24 Months,DSL,Credit card (automatic),44,9,52.371590909090905,456.45,0.20454545454545456
Month-to-month,13-24 Months,DSL,Electronic check,85,30,51.28823529411765,1449.35,0.35294117647058826
Month-to-month,13-24 Months,DSL,Mailed check,64,9,53.509375,477.15,0.140625
Month-to-month,13-24 Months,Fiber optic,Bank transfer (automatic),71,23,85.45985915492957,1976.85,0.323943661971831
Month-to-month,13-24 Months,Fiber optic,Credit card (automatic),62,28,86.6032258064516,2459.05,0.45161290322580644
Month-to-month,13-24 Months,Fiber optic,Electronic check,255,150,88.45019607843138,13353.65,0.5882352941176471
Month-to-month,13-24 Months,Fiber optic,Mailed check,37,14,86.8445945945946,1257.35,0.3783783783783784
Month-to-month,13-24 Months,No,Bank transfer (automatic),10,3,20.82,59.4,0.3
Month-to-month,13-24 Months,No,Credit card (automatic),15,1,20.90666666666667,25.4,0.06666666666666667
Month-to-month,13-24 Months,No,Electronic check,15,2,21.13,39.4,0.13333333333333333
Month-to-month,13-24 Months,No,Mailed check,40,2,20.384999999999998,43.8,0.05
Month-to-month,25-48 Months,DSL,Bank transfer (automatic),57,9,55.84649122807018,390.0,0.15789473684210525
Month-to-month,25-48 Months,DSL,Credit card (automatic),50,11,52.847,531.15,0.22
Month-to-month,25-48 Months,DSL,Electronic check,77,14,53.085064935064935,724.35,0.18181818181818182
Month-to-month,25-48 Months,DSL,Mailed check,43,2,53.90813953488372,110.25,0.046511627906976744
Month-to-month,25-48 Months,Fiber optic,Bank transfer (automatic),102,42,91.61911764705881,3889.0,0.4117647058823529
Month-to-month,25-48 Months,Fiber optic,Credit card (automatic),102,33,88.41029411764707,2929.3,0.3235294117647059
Month-to-month,25-48 Months,Fiber optic,Electronic check,286,140,92.53863636363636,12946.75,0.48951048951048953
Month-to-month,25-48 Months,Fiber optic,Mailed check,31,11,87.30322580645162,997.0,0.3548387096774194
Month-to-month,25-48 Months,No,Bank transfer (automatic),13,1,20.98846153846154,19.65,0.07692307692307693
Month-to-month,25-48 Months,No,Credit card (automatic),7,0,19.72142857142857,0.0,0.0
Month-to-month,25-48 Months,No,Electronic check,13,0,22.47307692307692,0.0,0.0
Month-to-month,25-48 Months,No,Mailed check,21,1,20.683333333333334,19.55,0.047619047619047616
Month-to-month,49+ Months,DSL,Bank transfer (automatic),22,2,52.53409090909091,95.6,0.09090909090909091
Month-to-month,49+ Months,DSL,Credit card (automatic),17,2,54.22941176470588,114.75,0.11764705882352941
Month-to-month,49+ Months,DSL,Electronic check,30,6,52.99,283.85,0.2
Month-to-month,49+ Months,DSL,Mailed check,5,0,51.660000000000004,0.0,0.0
Month-to-month,49+ Months,Fiber optic,Bank transfer (automatic),67,13,92.82388059701492,1240.1,0.19402985074626866
Month-to-month,49+ Months,Fiber optic,Credit card (automatic),54,15,95.6,1439.55,0.2777777777777778
Month-to-month,49+ Months,Fiber optic,Electronic check,135,50,96.23925925925926,4815.1,0.37037037037037035
Month-to-month,49+ Months,Fiber optic,Mailed check,10,0,88.35,0.0,0.0
Month-to-month,49+ Months,No,Credit card (automatic),1,0,20.0,0.0,0.0
Month-to-month,49+ Months,No,Mailed check,1,1,19.4,19.4,1.0
Month-to-month,7-12 Months,DSL,Bank transfer (automatic),37,3,53.445945945945944,139.85,0.08108108108108109
Month-to-month,7-12 Months,DSL,Credit card (automatic),22,7,54.429545454545455,366.3,0.3181818181818182
Month-to-month,7-12 Months,DSL,Electronic check,73,23,51.62671232876713,1105.8,0.3150684931506849
Month-to-month,7-12 Months,DSL,Mailed check,63,15,49.15555555555556,740.3,0.23809523809523808
Month-to-month,7-12 Months,Fiber optic,Bank transfer (automatic),46,33,84.3913043478261,2857.5,0.717391304347826
Month-to-month,7-12 Months,Fiber optic,Credit card (automatic),33,17,85.76212121212122,1503.95,0.5151515151515151
Month-to-month,7-12 Months,Fiber optic,Electronic check,191,117,85.77670157068063,10245.2,0.612565445026178
Month-to-month,7-12 Months,Fiber optic,Mailed check,27,17,80.69814814814815,1421.5,0.6296296296296297
Month-to-month,7-12 Months,No,Bank transfer (automatic),15,2,20.243333333333332,40.15,0.13333333333333333
Month-to-month,7-12 Months,No,Credit card (automatic),17,2,20.61764705882353,43.25,0.11764705882352941
Month-to-month,7-12 Months,No,Electronic check,10,2,20.94,38.9,0.2
Month-to-month,7-12 Months,No,Mailed check,47,6,20.29148936170213,117.45,0.1276595744680851
One year,0-6 Months,DSL,Credit card (automatic),1,0,74.1,0.0,0.0
One year,0-6 Months,DSL,Electronic check,1,0,69.95,0.0,0.0
One year,0-6 Months,DSL,Mailed check,3,1,48.36666666666667,70.0,0.3333333333333333
One year,0-6 Months,Fiber optic,Electronic check,1,1,105.65,105.65,1.0
One year,0-6 Months,No,Bank transfer (automatic),2,0,20.5,0.0,0.0
One year,0-6 Months,No,Credit card (automatic),5,1,20.560000000000002,19.3,0.2
One year,0-6 Months,No,Electronic check,4,0,21.05,0.0,0.0
One year,0-6 Months,No,Mailed check,22,1,20.179545454545455,19.85,0.045454545454545456
One year,13-24 Months,DSL,Bank transfer (automatic),19,3,62.48684210526316,180.75,0.15789473684210525
One year,13-24 Months,DSL,Credit card (automatic),17,4,56.752941176470586,230.35,0.23529411764705882
One year,13-24 Months,DSL,Electronic check,15,1,60.32,55.95,0.06666666666666667
One year,13-24 Months,DSL,Mailed check,28,3,62.080357142857146,208.64999999999998,0.10714285714285714
One year,13-24 Months,Fiber optic,Bank transfer (automatic),6,2,93.125,198.6,0.3333333333333333
One year,13-24 Months,Fiber optic,Credit card (automatic),8,0,89.13125,0.0,0.0
One year,13-24 Months,Fiber optic,Electronic check,4,1,92.2,100.95,0.25
One year,13-24 Months,Fiber optic,Mailed check,5,1,94.4,105.95,0.2
One year,13-24 Months,No,Bank transfer (automatic),20,1,20.8775,20.15,0.05
One year,13-24 Months,No,Credit card (automatic),17,0,20.526470588235295,0.0,0.0
One year,13-24 Months,No,Electronic check,4,0,21.2375,0.0,0.0
One year,13-24 Months,No,Mailed check,54,0,20.03611111111111,0.0,0.0
One year,25-48 Months,DSL,Bank transfer (automatic),53,3,63.43018867924528,211.75,0.05660377358490566
One year,25-48 Months,DSL,Credit card (automatic),77,8,61.65064935064935,567.5,0.1038961038961039
One year,25-48 Months,DSL,Electronic check,46,2,59.414130434782614,115.35,0.043478260869565216
One year,25-48 Months,DSL,Mailed check,65,9,59.566923076923075,541.95,0.13846153846153847
One year,25-48 Months,Fiber optic,Bank transfer (automatic),50,4,94.84899999999999,368.1,0.08
One year,25-48 Months,Fiber optic,Credit card (automatic),35,6,98.43,619.35,0.17142857142857143
One year,25-48 Months,Fiber optic,Electronic check,59,17,95.57203389830508,1667.95,0.288135593220339
One year,25-48 Months,Fiber optic,Mailed check,10,4,96.45,383.7,0.4
One year,25-48 Months,No,Bank transfer (automatic),37,1,21.20945945945946,25.3,0.02702702702702703
One year,25-48 Months,No,Credit card (automatic),28,0,20.866071428571427,0.0,0.0
One year,25-48 Months,No,Electronic check,12,1,22.05,20.4,0.08333333333333333
One year,25-48 Months,No,Mailed check,46,0,20.764130434782608,0.0,0.0
One year,49+ Months,DSL,Bank transfer (automatic),69,4,63.0804347826087,280.15,0.057971014492753624
One year,49+ Months,DSL,Credit card (automatic),69,4,64.47391304347826,281.5,0.057971014492753624
One year,49+ Months,DSL,Electronic check,44,5,66.2,309.4,0.11363636363636363
One year,49+ Months,DSL,Mailed check,26,0,58.84423076923077,0.0,0.0
One year,49+ Months,Fiber optic,Bank transfer (automatic),101,17,100.12029702970297,1777.65,0.16831683168316833
One year,49+ Months,Fiber optic,Credit card (automatic),106,17,100.29669811320755,1773.0,0.16037735849056603
One year,49+ Months,Fiber optic,Electronic check,129,32,101.06472868217054,3275.1,0.24806201550387597
One year,49+ Months,Fiber optic,Mailed check,19,1,99.6078947368421,100.45,0.05263157894736842
One year,49+ Months,No,Bank transfer (automatic),24,1,21.625,20.8,0.041666666666666664
One year,49+ Months,No,Credit card (automatic),21,0,21.288095238095238,0.0,0.0
One year,49+ Months,No,Electronic check,11,1,21.927272727272726,24.9,0.09090909090909091
One year,49+ Months,No,Mailed check,15,0,21.236666666666668,0.0,0.0
One year,7-12 Months,DSL,Bank transfer (automatic),4,1,47.5875,24.1,0.25
One year,7-12 Months,DSL,Credit card (automatic),8,1,44.46875,53.65,0.125
One year,7-12 Months,DSL,Electronic check,10,3,62.995000000000005,151.15,0.3
One year,7-12 Months,DSL,Mailed check,15,1,51.87,74.05,0.06666666666666667
One year,7-12 Months,Fiber optic,Credit card (automatic),1,0,85.15,0.0,0.0
One year,7-12 Months,Fiber optic,Electronic check,3,0,94.98333333333333,0.0,0.0
One year,7-12 Months,Fiber optic,Mailed check,2,1,94.775,95.5,0.5
One year,7-12 Months,No,Bank transfer (automatic),6,1,19.783333333333335,19.8,0.16666666666666666
One year,7-12 Months,No,Credit card (automatic),5,0,20.96,0.0,0.0
One year,7-12 Months,No,Electronic check,4,0,21.2625,0.0,0.0
One year,7-12 Months,No,Mailed check,27,1,20.364814814814817,19.75,0.037037037037037035
Two year,0-6 Months,DSL,Bank transfer (automatic),2,0,57.224999999999994,0.0,0.0
Two year,0-6 Months,DSL,Credit card (automatic),1,0,56.05,0.0,0.0
Two year,0-6 Months,DSL,Mailed check,7,0,67.0,0.0,0.0
Two year,0-6 Months,No,Credit card (automatic),5,0,20.880000000000003,0.0,0.0
Two year,0-6 Months,No,Mailed check,14,0,21.635714285714283,0.0,0.0
Two year,13-24 Months,DSL,Bank transfer (automatic),5,0,67.92999999999999,0.0,0.0
Two year,13-24 Months,DSL,Credit card (automatic),5,0,73.82,0.0,0.0
Two year,13-24 Months,DSL,Electronic check,1,0,64.35,0.0,0.0
Two year,13-24 Months,DSL,Mailed check,14,0,47.6,0.0,0.0
Two year,13-24 Months,Fiber optic,Electronic check,1,0,96.55,0.0,0.0
Two year,13-24 Months,No,Bank transfer (automatic),7,0,22.678571428571427,0.0,0.0
Two year,13-24 Months,No,Credit card (automatic),13,0,22.06153846153846,0.0,0.0
Two year,13-24 Months,No,Mailed check,44,0,21.045454545454547,0.0,0.0
Two year,25-48 Months,DSL,Bank transfer (automatic),18,0,61.13611111111111,0.0,0.0
Two year,25-48 Months,DSL,Credit card (automatic),31,1,65.95,54.35,0.03225806451612903
Two year,25-48 Months,DSL,Electronic check,8,0,66.4125,0.0,0.0
Two year,25-48 Months,DSL,Mailed check,22,0,66.68181818181819,0.0,0.0
Two year,25-48 Months,Fiber optic,Bank transfer (automatic),11,0,99.27272727272727,0.0,0.0
Two year,25-48 Months,Fiber optic,Credit card (automatic),9,0,106.03333333333333,0.0,0.0
Two year,25-48 Months,Fiber optic,Electronic check,10,2,101.795,185.05,0.2
Two year,25-48 Months,Fiber optic,Mailed check,5,1,100.64,95.5,0.2
Two year,25-48 Months,No,Bank transfer (automatic),35,0,21.29,0.0,0.0
Two year,25-48 Months,No,Credit card (automatic),40,1,21.45375,24.75,0.025
Two year,25-48 Months,No,Electronic check,9,0,22.005555555555556,0.0,0.0
Two year,25-48 Months,No,Mailed check,76,1,20.841447368421054,24.5,0.013157894736842105
Two year,49+ Months,DSL,Bank transfer (automatic),199,3,71.63718592964824,212.89999999999998,0.01507537688442211
Two year,49+ Months,DSL,Credit card (automatic),197,4,73.78172588832487,307.35,0.02030456852791878
Two year,49+ Months,DSL,Electronic check,49,4,71.70816326530611,231.1,0.08163265306122448
Two year,49+ Months,DSL,Mailed check,61,0,70.76229508196721,0.0,0.0
Two year,49+ Months,Fiber optic,Bank transfer (automatic),151,15,104.84238410596026,1580.15,0.09933774834437085
Two year,49+ Months,Fiber optic,Credit card (automatic),145,6,104.24034482758621,655.2,0.041379310344827586
Two year,49+ Months,Fiber optic,Electronic check,81,7,105.53518518518518,730.2,0.08641975308641975
Two year,49+ Months,Fiber optic,Mailed check,16,0,106.421875,0.0,0.0
Two year,49+ Months,No,Bank transfer (automatic),129,1,22.287596899224805,19.75,0.007751937984496124
Two year,49+ Months,No,Credit card (automatic),127,1,22.16732283464567,25.15,0.007874015748031496
Two year,49+ Months,No,Electronic check,8,0,22.2625,0.0,0.0
Two year,49+ Months,No,Mailed check,100,1,22.1135,19.35,0.01
Two year,7-12 Months,DSL,Credit card (automatic),3,0,59.833333333333336,0.0,0.0
Two year,7-12 Months,DSL,Mailed check,5,0,45.61,0.0,0.0
Two year,7-12 Months,No,Bank transfer (automatic),7,0,22.185714285714287,0.0,0.0
Two year,7-12 Months,No,Credit card (automatic),5,0,22.28,0.0,0.0
Two year,7-12 Months,No,Electronic check,1,0,20.05,0.0,0.0
Two year,7-12 Months,No,Mailed check,18,0,20.180555555555557,0.0,0.0
